system:index,elevation,label,lossyear,ndvi,slope,treecover2000,.geo
70,415,1,19,0.3768846392631531,1.814779186440465,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,1113,1,19,0.5558330416679382,14.560298828346781,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,109,1,8,0.4195348024368286,2.4476643298759098,87,"{""type"":""MultiPoint"",""coordinates"":[]}"
380,57,1,11,0.5011648535728455,0.9279225431335888,95,"{""type"":""MultiPoint"",""coordinates"":[]}"
620,1708,1,13,0.3987831175327301,15.583419960544424,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
668,29,1,10,0.5034114718437195,5.00171690062637,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
780,158,0,21,0.6156959533691406,7.939062595367432,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
785,9,1,11,0.4368152618408203,3.9485400119214566,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
967,473,1,18,0.44443780183792114,15.91056930551703,96,"{""type"":""MultiPoint"",""coordinates"":[]}"
1032,19,1,6,0.5498310327529907,2.929690402093036,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
1081,118,0,23,0.4746188819408417,5.369998689617262,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
1144,446,0,23,0.17502065002918243,2.416340192985941,37,"{""type"":""MultiPoint"",""coordinates"":[]}"
1189,1232,1,4,0.1383444368839264,5.7549151660823945,88,"{""type"":""MultiPoint"",""coordinates"":[]}"
1531,173,1,20,0.4625434875488281,2.377161000614316,63,"{""type"":""MultiPoint"",""coordinates"":[]}"
1550,1507,1,17,0.2785778045654297,0.9274099368492421,36,"{""type"":""MultiPoint"",""coordinates"":[]}"
2026,255,1,5,0.31857356429100037,4.656703472137451,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
2138,474,1,12,0.4142002761363983,2.226097348688432,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
2148,144,1,4,0.5943408608436584,2.164580683062793,84,"{""type"":""MultiPoint"",""coordinates"":[]}"
2177,602,1,18,0.5487374663352966,2.9325667678234493,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
2221,82,1,8,0.6779268980026245,1.4393281936645508,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
2349,203,1,5,0.40679535269737244,1.3368721851741119,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
2357,979,1,19,0.4304336607456207,21.787621820902274,95,"{""type"":""MultiPoint"",""coordinates"":[]}"
2567,452,1,5,0.3967306613922119,2.2956887808783613,89,"{""type"":""MultiPoint"",""coordinates"":[]}"
2593,372,1,20,0.2797117531299591,2.0770489960795153,63,"{""type"":""MultiPoint"",""coordinates"":[]}"
2709,85,1,1,0.12909454107284546,12.178909623764874,89,"{""type"":""MultiPoint"",""coordinates"":[]}"
3099,193,1,2,0.43432143330574036,2.7802885155287553,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
3112,36,1,13,0.4723740816116333,2.3427084392616426,64,"{""type"":""MultiPoint"",""coordinates"":[]}"
3142,5,0,23,0.5637157559394836,0.9274099368611016,90,"{""type"":""MultiPoint"",""coordinates"":[]}"
3532,181,1,7,0.48015907406806946,3.2325428772582563,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
3594,441,1,20,0.3720096945762634,31.960320752414688,96,"{""type"":""MultiPoint"",""coordinates"":[]}"
3822,285,1,4,0.6177117824554443,12.198243988011752,95,"{""type"":""MultiPoint"",""coordinates"":[]}"
3984,242,1,2,0.45889249444007874,1.8803158697733298,97,"{""type"":""MultiPoint"",""coordinates"":[]}"
4057,259,1,14,0.4896615743637085,9.278753844837548,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
4058,2377,1,18,0.15805788338184357,12.009908200015145,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
4103,240,1,5,0.4885636866092682,2.0905901523392862,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
4352,104,1,4,0.41220101714134216,1.8543341688058628,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
4502,44,1,4,0.5532213449478149,7.932616569670789,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
4515,14,1,17,0.47722285985946655,2.073174579082182,97,"{""type"":""MultiPoint"",""coordinates"":[]}"
4544,122,1,4,0.4634811580181122,3.4931416511535645,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
4555,1889,0,22,0.48438847064971924,1.3198998859544124,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
4680,39,0,24,0.5122178792953491,11.922093256959466,82,"{""type"":""MultiPoint"",""coordinates"":[]}"
4735,796,1,14,0.22755157947540283,6.3456500458615945,97,"{""type"":""MultiPoint"",""coordinates"":[]}"
4826,101,1,12,0.2627052664756775,1.35612685412224,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
4973,1975,1,7,0.3857046663761139,6.272410772582109,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
5057,27,1,7,0.500190794467926,2.930784023201424,90,"{""type"":""MultiPoint"",""coordinates"":[]}"
5061,82,1,6,0.4668883681297302,2.6220191987216133,89,"{""type"":""MultiPoint"",""coordinates"":[]}"
5092,196,1,10,0.38831624388694763,0.9960934940266707,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
5110,196,0,24,0.5494494438171387,5.555496175428102,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
5184,44,1,17,0.6467142701148987,4.985092655873126,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
5343,939,1,2,0.4704173803329468,6.753275756502566,95,"{""type"":""MultiPoint"",""coordinates"":[]}"
5382,139,0,22,0.5599319934844971,1.854334168853263,95,"{""type"":""MultiPoint"",""coordinates"":[]}"
5473,87,0,23,0.6417921781539917,2.075967665638261,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
5680,425,1,4,0.41236981749534607,2.0848535450956036,97,"{""type"":""MultiPoint"",""coordinates"":[]}"
5728,179,1,16,0.5455052256584167,1.1257364460417048,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
5989,33,1,2,0.39553967118263245,1.8543341159820557,86,"{""type"":""MultiPoint"",""coordinates"":[]}"
6023,127,1,2,0.5429954528808594,1.9742228984832764,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
6033,69,1,3,0.6513290405273438,2.9318891250938344,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
6107,546,1,14,0.29557737708091736,14.056672113698983,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
6162,396,1,15,0.5211197733879089,1.3114520653204986,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
6284,260,1,13,0.46773847937583923,7.881550843298836,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
6422,302,1,9,0.3478854298591614,5.609963075874228,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
6598,127,1,19,0.6242405772209167,2.093757748262969,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
6623,221,0,21,0.49260449409484863,12.863204103735152,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
6636,187,1,20,0.6065014004707336,3.3581016063690186,93,"{""type"":""MultiPoint"",""coordinates"":[]}"
6788,1075,0,22,0.5889015793800354,1.3115768539378243,43,"{""type"":""MultiPoint"",""coordinates"":[]}"
6958,245,1,2,0.32653847336769104,2.1255380462437112,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
7141,82,1,8,0.5279620885848999,2.9309512921415792,97,"{""type"":""MultiPoint"",""coordinates"":[]}"
7221,234,1,8,0.5219789743423462,4.720135151253996,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
7375,390,1,6,0.36006075143814087,5.796382206652246,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
7430,185,1,16,0.5482521057128906,6.762572470006913,82,"{""type"":""MultiPoint"",""coordinates"":[]}"
7436,722,1,19,0.5089723467826843,29.8391921569031,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
7468,582,0,24,0.40745335817337036,1.8543341688295631,96,"{""type"":""MultiPoint"",""coordinates"":[]}"
7557,159,1,14,0.6479356288909912,4.689549878268754,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
7983,77,1,16,0.660988450050354,3.82053178741816,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
8068,260,1,3,0.4605359733104706,4.224109893364462,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
8094,273,1,10,0.36834171414375305,2.431103518401553,86,"{""type"":""MultiPoint"",""coordinates"":[]}"
8180,1164,1,5,0.4010128080844879,14.520767831806387,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
8188,1042,1,16,0.17663216590881348,10.665081977844238,82,"{""type"":""MultiPoint"",""coordinates"":[]}"
8274,98,0,22,0.6487435698509216,2.8115542556402287,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
8307,131,1,2,0.4707477390766144,3.608266150615287,86,"{""type"":""MultiPoint"",""coordinates"":[]}"
8464,984,0,22,0.5954781174659729,0.9274099368729609,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
8470,182,0,21,0.6844534873962402,4.861715551692426,97,"{""type"":""MultiPoint"",""coordinates"":[]}"
8609,1105,1,8,0.13379351794719696,23.71001887548429,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
8793,173,1,20,0.5965224504470825,7.933409526313875,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
8949,20,0,23,0.5681632161140442,0.962652255113571,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
9050,252,1,14,0.5134402513504028,2.0730538368225098,95,"{""type"":""MultiPoint"",""coordinates"":[]}"
9215,771,1,14,0.40856054425239563,10.351604821919393,83,"{""type"":""MultiPoint"",""coordinates"":[]}"
9361,1024,1,14,0.6230857968330383,19.90094556561858,91,"{""type"":""MultiPoint"",""coordinates"":[]}"
9378,1126,1,7,0.18802179396152496,4.150945461205458,89,"{""type"":""MultiPoint"",""coordinates"":[]}"
9402,238,1,18,0.5774416327476501,4.150989451639758,97,"{""type"":""MultiPoint"",""coordinates"":[]}"
9452,444,0,21,0.3289264440536499,3.54540139771515,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
9464,40,1,16,0.5990389585494995,2.077237844467163,86,"{""type"":""MultiPoint"",""coordinates"":[]}"
9558,384,1,2,0.41514772176742554,0.9274099469184875,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
9637,163,1,18,0.42897269129753113,2.58959440144594,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
9649,827,1,7,0.4884776175022125,2.5160379290605186,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
9697,389,1,2,0.5013172626495361,0.9274099368729609,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
9779,358,1,8,0.6406263709068298,2.997369957373397,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
9901,234,1,10,0.3623214364051819,6.74305371305294,39,"{""type"":""MultiPoint"",""coordinates"":[]}"
10017,591,1,8,0.19076988101005554,2.7802885155287553,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
10485,408,0,22,0.3532972037792206,4.9770754573052125,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
10523,620,1,1,0.3734305202960968,17.86315941638493,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
10585,14,1,10,0.53553307056427,4.140676694648354,82,"{""type"":""MultiPoint"",""coordinates"":[]}"
10749,730,1,9,0.2585364878177643,8.070484371573645,87,"{""type"":""MultiPoint"",""coordinates"":[]}"
